"","V1","V2","V3","V4"
"1",526.460021972656,90.3600006103516,268.940002441406,96.7399978637695
"2",543.650024414062,90.0199966430664,270.970001220703,101.569999694824
"3",540.390014648438,91.1500015258789,263.309997558594,103.610000610352
"4",558.359985351562,91.5299987792969,268.739990234375,111.889999389648
"5",570.530029296875,92.0199966430664,267.570007324219,114.569999694824
"6",557.039978027344,91,256.839996337891,109.199996948242
"7",552.880004882812,90.7200012207031,251.089996337891,107.449996948242
"8",551.140014648438,89.5599975585938,251.639999389648,107.050003051758
"9",554.640014648438,88.0699996948242,245.639999389648,104.769996643066
"10",567.22998046875,88.370002746582,251.360000610352,105.080001831055
"11",557.409973144531,88.3399963378906,261.100006103516,110.099998474121
"12",564.369995117188,89.3199996948242,267.480010986328,112.949996948242
"13",543.809997558594,87.5500030517578,272.869995117188,116.029998779297
"14",534.080017089844,86.870002746582,274.5,116.76000213623
"15",539.469970703125,86.9599990844727,278.010009765625,124.290000915527
"16",535.099975585938,87.3300018310547,282.049987792969,121.930000305176
"17",509.640014648438,87.2799987792969,272.140014648438,119.089996337891
"18",536.580017089844,89.0899963378906,265,117.23999786377
"19",525.380004882812,87.3199996948242,258.329986572266,114.98999786377
"20",543.049987792969,89.3000030517578,262.010009765625,118.25
"21",557.77001953125,90.5299987792969,267.079986572266,123.370002746582
"22",546.179992675781,89.9499969482422,266.649993896484,122.930000305176
"23",615.159973144531,91.5800018310547,266.489990234375,122.279998779297
"24",620.450012207031,91.629997253418,268.100006103516,124.019996643066
"25",602.440002441406,91.7099990844727,266.579986572266,124.129997253418
"26",615,90.8899993896484,269.450012207031,132.419998168945
"27",605.780029296875,90.4499969482422,271.869995117188,131.050003051758
"28",599,90.2900009155273,270.390014648438,132.470001220703
"29",609.580017089844,89.4000015258789,270.5,132.119995117188
"30",614.210021972656,88.8000030517578,273.970001220703,126.980003356934
"31",599.530029296875,89.1800003051758,273.570007324219,126.900001525879
"32",594.989990234375,91.2799987792969,269.390014648438,124.319999694824
"33",599.25,90.25,261.559997558594,123.889999389648
"34",579.539978027344,90.3899993896484,260.329986572266,117.459999084473
"35",567.809997558594,90.879997253418,265.859985351562,120.25
"36",573.260009765625,93.3600006103516,264.309997558594,117.5
"37",556.109985351562,91.4100036621094,254.690002441406,108.660003662109
"38",567.109985351562,91.0699996948242,257.619995117188,109.849998474121
"39",565.109985351562,92.75,264.910003662109,110.589996337891
"40",563.210021972656,92.1399993896484,259,110.129997253418
"41",527.429992675781,90.4800033569336,255.410003662109,107.230003356934
"42",520.450012207031,89.3099975585938,257.640014648438,106.26000213623
"43",536.460021972656,92.120002746582,264.279998779297,108.26000213623
"44",496.070007324219,93.1999969482422,255.309997558594,102.080001831055
"45",515.869995117188,94.5500030517578,265.739990234375,110.680000305176
"46",511.790008544922,94.6999969482422,264.899993896484,105.699996948242
"47",544,95.1600036621094,273.880004882812,108.389999389648
"48",536.440002441406,95.25,268.399993896484,107.949996948242
"49",558.849975585938,97.75,273.75,107.080001831055
"50",542.539978027344,98.0400009155273,279.279998779297,108.300003051758
"51",540.010009765625,97.9800033569336,284.010009765625,108.26000213623
"52",514.359985351562,97.2900009155273,278.619995117188,104.98999786377
"53",529.460021972656,95.8399963378906,290.109985351562,109.069999694824
"54",530.599975585938,96.5800018310547,293.540008544922,110.059997558594
"55",518.880004882812,96.1500015258789,290.630004882812,106.529998779297
"56",506.170013427734,96.9599990844727,282.140014648438,102.690002441406
"57",517.869995117188,98.3099975585938,278.739990234375,101.550003051758
"58",528.340026855469,100.819999694824,283.019989013672,103.940002441406
"59",516,100.279998779297,290.820007324219,103.089996337891
"60",524.330017089844,99.2300033569336,288,102.900001525879
"61",541.530029296875,98.0199966430664,294.529998779297,103.26000213623
"62",545.049987792969,98.7600021362305,298.660003662109,106.599998474121
"63",547.940002441406,100.360000610352,308.910003662109,105.540000915527
"64",553.840026855469,95.4199981689453,306.260009765625,107.269996643066
"65",552.559997558594,94.8099975585938,313.089996337891,103.389999389648
"66",575.75,96.0400009155273,313.019989013672,104.930000305176
"67",592.559997558594,96.3600006103516,312.459991455078,103.940002441406
"68",601.109985351562,95.8499984741211,311.540008544922,104.75
"69",595.630004882812,96.2799987792969,309.760009765625,106.209999084473
"70",594.929992675781,96.75,302.820007324219,106.900001525879
"71",606.22998046875,96.3099975585938,307.820007324219,105.839996337891
"72",606.330017089844,97.5,306.179992675781,106.800003051758
"73",603.719970703125,96.4300003051758,302.239990234375,106.830001831055
"74",596.200012207031,97.5100021362305,302.649993896484,106.730003356934
"75",616.080017089844,98.2200012207031,301.470001220703,108.930000305176
"76",615.309997558594,98.2799987792969,296.519989013672,111.349998474121
"77",620.119995117188,99.2300033569336,301.130004882812,112.620002746582
"78",617.239990234375,98.8499984741211,303.040008544922,112.379997253418
"79",621.760009765625,99.120002746582,303.570007324219,111.699996948242
"80",613.359985351562,97.8499984741211,307.100006103516,114.269996643066
"81",604.340026855469,99.3499984741211,329.510009765625,115.099998474121
"82",595.530029296875,97.4899978637695,325.079986572266,112.059997558594
"83",599.77001953125,99.0599975585938,322.579986572266,110.410003662109
"84",582.150024414062,100.779998779297,318.359985351562,109.110000610352
"85",569.25,100.379997253418,315.019989013672,107.690002441406
"86",584.719970703125,101.589996337891,320.019989013672,109.76000213623
"87",598.340026855469,101.01000213623,319.079986572266,109.860000610352
"88",554.5,100.440002441406,305.970001220703,105.540000915527
"89",566.260009765625,99.0299987792969,306.529998779297,106.449996948242
"90",548.640014648438,96.3399963378906,302.549987792969,104.629997253418
"91",553.619995117188,98.5299987792969,305.260009765625,101.51000213623
"92",569.039978027344,100.110000610352,315.940002441406,105.339996337891
"93",559.52001953125,99.8499984741211,315.459991455078,104.900001525879
"94",569.5,99.0999984741211,309.959991455078,108.610000610352
"95",571.489990234375,98.8899993896484,313.589996337891,110.26000213623
"96",587.900024414062,100.620002746582,318.609985351562,119.069999694824
"97",591.75,100.75,316.230010986328,117.389999389648
"98",604.450012207031,101.889999389648,324.630004882812,113.5
"99",594.950012207031,101.089996337891,327.790008544922,114.470001220703
"100",596.690002441406,100.589996337891,327.660003662109,116.319999694824
"101",599.77001953125,100.879997253418,332.75,116.360000610352
"102",590.150024414062,101.139999389648,328.730010986328,117.930000305176
"103",593.47998046875,100.98999786377,329.130004882812,118.580001831055
"104",575.489990234375,101.879997253418,329.149993896484,115.410003662109
"105",566.960021972656,101.860000610352,326.040008544922,113.660003662109
"106",582.349975585938,102.559997558594,330.350006103516,114.440002441406
"107",580.27001953125,101.75,336.579986572266,113.889999389648
"108",589.760009765625,103.029998779297,333.679992675781,113.230003356934
"109",585.5,103.580001831055,330.25,110.319999694824
"110",612.150024414062,104.790000915527,332.459991455078,113.110000610352
"111",611.539978027344,105,331.260009765625,113.089996337891
"112",605.77001953125,104.48999786377,336.769989013672,114.160003662109
