"","V1","V2","V3","V4"
"1",86.870002746582,96.7399978637695,168.960006713867,148.5
"2",89.5999984741211,101.569999694824,168.490005493164,152.429992675781
"3",90.8300018310547,103.610000610352,167.899993896484,151.190002441406
"4",94.5599975585938,111.889999389648,168.850006103516,155.699996948242
"5",95.5599975585938,114.569999694824,171.050003051758,156.639999389648
"6",97.9599990844727,109.199996948242,168.509994506836,156.110000610352
"7",100.01000213623,107.449996948242,169.059997558594,154.449996948242
"8",98.0500030517578,107.050003051758,164.660003662109,157.419998168945
"9",105.800003051758,104.769996643066,161.910003662109,160.850006103516
"10",103.139999389648,105.080001831055,161.119995117188,157.089996337891
"11",109.220001220703,110.099998474121,161.979995727539,163.770004272461
"12",107.839996337891,112.949996948242,162.350006103516,164.600006103516
"13",107.970001220703,116.029998779297,161.029998779297,164.75
"14",106.330001831055,116.76000213623,161.979995727539,162.419998168945
"15",108.120002746582,124.290000915527,163.679992675781,164.399993896484
"16",105.529998779297,121.930000305176,164.529998779297,162.550003051758
"17",98.5800018310547,119.089996337891,165.669998168945,153.669998168945
"18",101.150001525879,117.23999786377,166.75,155.550003051758
"19",96.6800003051758,114.98999786377,165.119995117188,156.279998779297
"20",101.209999084473,118.25,166.350006103516,161.580001831055
"21",103.589996337891,123.370002746582,168.380004882812,164.779998779297
"22",99.870002746582,122.930000305176,166.830001831055,162.300003051758
"23",103.23999786377,122.279998779297,170.559997558594,147.970001220703
"24",100.709999084473,124.019996643066,167.279998779297,145.839996337891
"25",106.190002441406,124.129997253418,167.919998168945,147.380004882812
"26",105.379997253418,132.419998168945,167.380004882812,146.110000610352
"27",105.879997253418,131.050003051758,166.940002441406,145.5
"28",113,132.470001220703,166.800003051758,145.559997558594
"29",116.699996948242,132.119995117188,167.029998779297,147.979995727539
"30",118.349998474121,126.980003356934,166.160003662109,147.160003662109
"31",115.709999084473,126.900001525879,167.130004882812,144.75
"32",113.430000305176,124.319999694824,172.600006103516,143.910003662109
"33",119.459999084473,123.889999389648,169.289993286133,144.940002441406
"34",115.230003356934,117.459999084473,170.820007324219,139.460006713867
"35",116.139999389648,120.25,172.070007324219,137.119995117188
"36",122.809997558594,117.5,176.619995117188,141.100006103516
"37",113.930000305176,108.660003662109,175.529998779297,135.529998779297
"38",118.190002441406,109.849998474121,174.020004272461,136.190002441406
"39",122.25,110.589996337891,177.5,139.490005493164
"40",117.5,110.129997253418,174.940002441406,137.039993286133
"41",115.440002441406,107.230003356934,174.490005493164,131.660003662109
"42",108.23999786377,106.26000213623,171.009994506836,127.800003051758
"43",113.449996948242,108.26000213623,178.259994506836,129.75
"44",105.680000305176,102.080001831055,180.419998168945,123.199996948242
"45",114.220001220703,110.680000305176,183.059997558594,129.110000610352
"46",112.680000305176,105.699996948242,182.070007324219,127.870002746582
"47",117.190002441406,108.389999389648,181.559997558594,131.740005493164
"48",114.290000915527,107.949996948242,182.770004272461,129.979995727539
"49",114.879997253418,107.080001831055,189.080001831055,131.639999389648
"50",118.5,108.300003051758,188.279998779297,133.649993896484
"51",119.900001525879,108.26000213623,187.880004882812,133.919998168945
"52",114.279998779297,104.98999786377,186.059997558594,129.75
"53",114.860000610352,109.069999694824,183.929992675781,131.020004272461
"54",119.330001831055,110.059997558594,184.389999389648,134.089996337891
"55",116.379997253418,106.529998779297,184.039993286133,132.520004272461
"56",121.099998474121,102.690002441406,185.270004272461,127.180000305176
"57",119.720001220703,101.550003051758,187,127.279998779297
"58",128.639999389648,103.940002441406,192.690002441406,132.990005493164
"59",125.709999084473,103.089996337891,192.5,131.270004272461
"60",126.76000213623,102.900001525879,187.889999389648,130.110000610352
"61",133.600006103516,103.26000213623,188.470001220703,132.589996337891
"62",141.520004272461,106.599998474121,189.399993896484,137.789993286133
"63",143.050003051758,105.540000915527,193.070007324219,140.330001831055
"64",139.539993286133,107.269996643066,189.410003662109,138.059997558594
"65",139.139999389648,103.389999389648,185.809997558594,139.429992675781
"66",139.350006103516,104.930000305176,188.199996948242,140.339996337891
"67",138.910003662109,103.940002441406,189.440002441406,140.570007324219
"68",135,104.75,189.759994506836,137.440002441406
"69",135.100006103516,106.209999084473,191.919998168945,137.300003051758
"70",134.139999389648,106.900001525879,191.149993896484,134.75
"71",134.410003662109,105.839996337891,191.889999389648,137.839996337891
"72",133.729995727539,106.800003051758,192.940002441406,138.210006713867
